Country,consumed litres of pure alcohol per-capita
Belarus,14.4
Lithuania,12.9
Andorra,12.4
Grenada,11.9
Czech Republic,11.8
France,11.8
Russian Federation,11.5
Ireland,11.4
Slovakia,11.4
Luxembourg,11.4
Germany,11.3
Hungary,11.3
Portugal,11.0
Poland,10.9
Slovenia,10.6
